item,itemLabel
http://www.wikidata.org/entity/Q9807,'s-Hertogenbosch
http://www.wikidata.org/entity/Q300665,Aa en Hunze
http://www.wikidata.org/entity/Q9897,Aalsmeer
http://www.wikidata.org/entity/Q275909,Aalten
http://www.wikidata.org/entity/Q341024,Achtkarspelen
http://www.wikidata.org/entity/Q736131,Alblasserdam
http://www.wikidata.org/entity/Q166134,Alkemade
http://www.wikidata.org/entity/Q972,Alkmaar
http://www.wikidata.org/entity/Q988,Almelo
http://www.wikidata.org/entity/Q213246,Alphen aan den Rijn
http://www.wikidata.org/entity/Q9809,Alphen-Chaam
http://www.wikidata.org/entity/Q28057171,Altena
http://www.wikidata.org/entity/Q208259,Ameland
http://www.wikidata.org/entity/Q1615400,Amerongen
http://www.wikidata.org/entity/Q992,Amersfoort
http://www.wikidata.org/entity/Q9898,Amstelveen
http://www.wikidata.org/entity/Q9899,Amsterdam
http://www.wikidata.org/entity/Q101918,Apeldoorn
http://www.wikidata.org/entity/Q995,Appingedam
http://www.wikidata.org/entity/Q1310,Arnhem
http://www.wikidata.org/entity/Q798,Assen
http://www.wikidata.org/entity/Q9810,Asten
http://www.wikidata.org/entity/Q9811,Baarle-Nassau
http://www.wikidata.org/entity/Q10027,Baarn
http://www.wikidata.org/entity/Q204239,Barendrecht
http://www.wikidata.org/entity/Q164098,Barneveld
http://www.wikidata.org/entity/Q9806,Beek
http://www.wikidata.org/entity/Q29957432,Beekdaelen
http://www.wikidata.org/entity/Q9900,Beemster
http://www.wikidata.org/entity/Q9805,Beesel
http://www.wikidata.org/entity/Q18088965,Berg en Dal
http://www.wikidata.org/entity/Q35159872,Bergambacht
http://www.wikidata.org/entity/Q9812,Bergeijk
http://www.wikidata.org/entity/Q9804,Bergen
http://www.wikidata.org/entity/Q9901,Bergen
http://www.wikidata.org/entity/Q9814,Bergen op Zoom
http://www.wikidata.org/entity/Q47104,Berkelland
http://www.wikidata.org/entity/Q9815,Bernheze
http://www.wikidata.org/entity/Q9816,Best
http://www.wikidata.org/entity/Q851244,Beuningen
http://www.wikidata.org/entity/Q9905,Beverwijk
http://www.wikidata.org/entity/Q9817,Bladel
http://www.wikidata.org/entity/Q9906,Blaricum
http://www.wikidata.org/entity/Q9908,Bloemendaal
http://www.wikidata.org/entity/Q889423,Bodegraven-Reeuwijk
http://www.wikidata.org/entity/Q9818,Boekel
http://www.wikidata.org/entity/Q835118,Borger-Odoorn
http://www.wikidata.org/entity/Q9997,Borne
http://www.wikidata.org/entity/Q10071,Borsele
http://www.wikidata.org/entity/Q9819,Boxmeer
http://www.wikidata.org/entity/Q9821,Boxtel
http://www.wikidata.org/entity/Q9822,Breda
http://www.wikidata.org/entity/Q462663,Brielle
http://www.wikidata.org/entity/Q747999,Bronckhorst
http://www.wikidata.org/entity/Q843895,Brummen
http://www.wikidata.org/entity/Q9803,Brunssum
http://www.wikidata.org/entity/Q10032,Bunnik
http://www.wikidata.org/entity/Q10034,Bunschoten
http://www.wikidata.org/entity/Q73061,Buren
http://www.wikidata.org/entity/Q734860,Capelle aan den IJssel
http://www.wikidata.org/entity/Q9910,Castricum
http://www.wikidata.org/entity/Q60453,Coevorden
http://www.wikidata.org/entity/Q9823,Cranendonck
http://www.wikidata.org/entity/Q9827,Cuijk
http://www.wikidata.org/entity/Q816699,Culemborg
http://www.wikidata.org/entity/Q9998,Dalfsen
http://www.wikidata.org/entity/Q10035,De Bilt
http://www.wikidata.org/entity/Q2114866,De Friese Meren
http://www.wikidata.org/entity/Q10036,De Ronde Venen
http://www.wikidata.org/entity/Q835108,De Wolden
http://www.wikidata.org/entity/Q690,Delft
http://www.wikidata.org/entity/Q322986,Delfzijl
http://www.wikidata.org/entity/Q36600,Den Haag
http://www.wikidata.org/entity/Q9911,Den Helder
http://www.wikidata.org/entity/Q9828,Deurne
http://www.wikidata.org/entity/Q9913,Diemen
http://www.wikidata.org/entity/Q9999,Dinkelland
http://www.wikidata.org/entity/Q917827,Dirksland
http://www.wikidata.org/entity/Q165736,Doesburg
http://www.wikidata.org/entity/Q145845,Doetinchem
http://www.wikidata.org/entity/Q9829,Dongen
http://www.wikidata.org/entity/Q26421,Dordrecht
http://www.wikidata.org/entity/Q9915,Drechterland
